Designator,Mid X,Mid Y,Layer,Rotation
R251,91.80000000000001mm,73.02499999999999mm,Top,90.0
R250,90.6mm,73.02499999999999mm,Top,90.0
R249,94.2mm,74.02499999999999mm,Top,270.0
R248,93.0mm,74.02499999999999mm,Top,270.0
R247,91.80000000000001mm,74.02499999999999mm,Top,270.0
R246,90.6mm,74.02499999999999mm,Top,270.0
R235,89.4mm,73.02499999999999mm,Top,90.0
R234,88.2mm,73.02499999999999mm,Top,90.0
R233,87.0mm,73.02499999999999mm,Top,90.0
R232,85.8mm,73.02499999999999mm,Top,90.0
R231,89.4mm,74.02499999999999mm,Top,270.0
R230,88.2mm,74.02499999999999mm,Top,270.0
R229,87.0mm,74.02499999999999mm,Top,270.0
R228,85.8mm,74.02499999999999mm,Top,270.0
R226,84.60000000000001mm,73.02499999999999mm,Top,270.0
R225,83.4mm,73.02499999999999mm,Top,270.0
R224,82.2mm,73.02499999999999mm,Top,270.0
R223,81.0mm,73.02499999999999mm,Top,270.0
R222,84.60000000000001mm,74.02499999999999mm,Top,90.0
R221,83.4mm,74.02499999999999mm,Top,90.0
R220,82.2mm,74.02499999999999mm,Top,90.0
R219,81.0mm,74.02499999999999mm,Top,90.0
R218,82.7mm,74.07499999999999mm,Bottom,0.0
R208,79.8mm,73.02499999999999mm,Top,270.0
R207,78.60000000000001mm,73.02499999999999mm,Top,270.0
R206,77.4mm,73.02499999999999mm,Top,270.0
R205,76.2mm,73.02499999999999mm,Top,270.0
R204,79.8mm,74.02499999999999mm,Top,90.0
R203,78.60000000000001mm,74.02499999999999mm,Top,90.0
R202,77.4mm,74.02499999999999mm,Top,90.0
R201,76.2mm,74.02499999999999mm,Top,90.0
P106,97.1mm,84.975mm,Top,270.0
P105,89.48mm,84.975mm,Top,270.0
P104,93.49000000000001mm,84.975mm,Top,270.0
P201,95.45mm,73.52499999999999mm,Top,90.0
P200,74.9mm,72.02499999999999mm,Top,90.0
J100,100.65mm,94.82499999999999mm,Bottom,90.0
D100,78.3mm,95.01729999999999mm,Bottom,180.0
D205,104.8965mm,80.28139999999999mm,Top,90.0
D206,92.4mm,76.82499999999999mm,Top,180.0
D203,87.60000000000001mm,76.82499999999999mm,Top,180.0
D200,78.0mm,76.82499999999999mm,Top,180.0
D116,79.3361mm,85.6245mm,Top,180.0
D115,83.5744mm,85.6245mm,Top,180.0
D114,79.3361mm,87.55789999999999mm,Top,180.0
D113,83.5744mm,87.55789999999999mm,Top,180.0
D112,79.3361mm,89.49119999999999mm,Top,180.0
D111,83.5744mm,89.49119999999999mm,Top,180.0
D110,79.3361mm,91.4245mm,Top,180.0
D109,83.4531mm,91.56389999999999mm,Top,180.0
D202,82.8mm,76.82499999999999mm,Top,180.0
C143,96.6mm,75.925mm,Top,270.0
C144,97.80000000000001mm,75.925mm,Top,90.0
C145,99.0mm,75.925mm,Top,270.0
C146,100.2mm,75.925mm,Top,270.0
C112,85.5122mm,85.3103mm,Bottom,0.0
C111,75.2mm,84.82499999999999mm,Bottom,180.0
C123,100.80000000000001mm,103.44999999999999mm,Bottom,0.0
C105,79.0mm,97.225mm,Bottom,0.0
C100,76.42750000000001mm,97.225mm,Bottom,180.0
C229,96.6mm,75.01989999999999mm,Bottom,90.0
C224,74.75mm,73.625mm,Top,90.0
C223,74.75mm,77.875mm,Top,90.0
C222,74.8mm,74.925mm,Bottom,270.0
C221,95.0227mm,77.6978mm,Top,270.0
C220,94.9153mm,77.725mm,Bottom,270.0
C225,90.40010000000001mm,76.77499999999999mm,Bottom,270.0
C226,91.5mm,76.77499999999999mm,Bottom,270.0
C227,93.65010000000001mm,76.77499999999999mm,Bottom,270.0
C228,94.7153mm,74.01989999999999mm,Bottom,90.0
C212,85.6001mm,76.77499999999999mm,Bottom,270.0
C213,86.7mm,76.77499999999999mm,Bottom,270.0
C214,88.8501mm,76.77499999999999mm,Bottom,270.0
C215,89.8944mm,74.01989999999999mm,Bottom,90.0
C200,76.0001mm,76.77499999999999mm,Bottom,270.0
C201,77.10000000000001mm,76.77499999999999mm,Bottom,270.0
C202,79.2501mm,76.77499999999999mm,Bottom,270.0
C203,80.29050000000001mm,74.01989999999999mm,Bottom,90.0
C195,87.8501mm,82.225mm,Bottom,270.0
C190,101.95mm,82.07499999999999mm,Bottom,270.0
C185,80.75mm,82.225mm,Bottom,270.0
C180,94.95mm,82.225mm,Bottom,270.0
C142,100.2mm,73.02499999999999mm,Bottom,270.0
C141,99.0mm,73.02499999999999mm,Bottom,270.0
C139,97.8001mm,73.02499999999999mm,Bottom,90.0
C135,96.6mm,73.02499999999999mm,Bottom,270.0
C211,85.10810000000001mm,74.01989999999999mm,Bottom,90.0
C210,84.0501mm,76.77499999999999mm,Bottom,270.0
C209,81.9mm,76.77499999999999mm,Bottom,270.0
C208,80.8001mm,76.77499999999999mm,Bottom,270.0
C147,91.55000000000001mm,90.43369999999999mm,Bottom,180.0
F101,76.5mm,103.62219999999999mm,Bottom,90.0
R134,85.75mm,103.125mm,Bottom,0.0
R133,85.75mm,104.3mm,Bottom,0.0
C133,85.9mm,101.01499999999999mm,Bottom,90.0
R131,92.696mm,86.3688mm,Bottom,180.0
R130,86.0001mm,91.55mm,Bottom,90.0
R129,86.0001mm,87.675mm,Bottom,90.0
Y101,88.2874mm,99.44239999999999mm,Bottom,0.0
C116,89.2286mm,97.9536mm,Bottom,180.0
C115,87.3644mm,97.9673mm,Bottom,0.0
C124,91.55000000000001mm,89.2939mm,Bottom,0.0
R121,101.22540000000001mm,105.80199999999999mm,Bottom,180.0
R106,95.05000000000001mm,103.94999999999999mm,Bottom,0.0
J101,100.4mm,104.675mm,Top,180.0
C108,87.5mm,101.02499999999999mm,Bottom,0.0
R105,105.4491mm,88.4061mm,Top,0.0
R104,105.2491mm,87.2161mm,Top,0.0
R103,105.4491mm,86.1061mm,Top,0.0
R125,106.0mm,74.54499999999999mm,Top,270.0
C104,79.85000000000001mm,105.625mm,Bottom,90.0
C137,87.1952mm,85.33349999999999mm,Top,0.0
D101,76.62950000000001mm,99.86949999999999mm,Bottom,180.0
C101,103.5916mm,105.80199999999999mm,Bottom,180.0
R102,75.42750000000001mm,98.2995mm,Bottom,180.0
R101,86.0001mm,95.425mm,Bottom,270.0
D102,105.30000000000001mm,104.425mm,Top,90.0
Y102,90.94380000000001mm,94.41149999999999mm,Bottom,90.0
R122,105.30000000000001mm,84.225mm,Bottom,0.0
R123,103.0098mm,82.20089999999999mm,Bottom,270.0
R127,91.1mm,100.125mm,Bottom,180.0
R128,94.7778mm,86.3688mm,Bottom,180.0
D106,83.4531mm,98.98989999999999mm,Top,180.0
D105,83.4531mm,97.1899mm,Top,180.0
D107,89.605mm,102.71449999999999mm,Bottom,180.0
D104,83.4531mm,95.3899mm,Top,180.0
D103,83.4531mm,93.5899mm,Top,180.0
C140,91.1mm,99.02499999999999mm,Bottom,0.0
C132,88.6675mm,95.4001mm,Bottom,90.0
C136,88.6675mm,93.3249mm,Bottom,270.0
C127,99.30000000000001mm,86.3688mm,Bottom,0.0
C138,74.8339mm,102.3972mm,Bottom,90.0
C130,89.3175mm,88.2785mm,Bottom,0.0
C131,99.30000000000001mm,85.225mm,Bottom,0.0
C122,89.3175mm,90.43369999999999mm,Bottom,180.0
C114,105.1683mm,100.225mm,Top,0.0
C103,78.8mm,105.625mm,Bottom,90.0
C113,105.1683mm,101.425mm,Top,180.0
C102,79.0mm,98.2995mm,Bottom,180.0
U105,94.7094mm,94.27499999999999mm,Top,270.0
R430,125.68750299999999mm,94.968342mm,Top,0.0
C431,118.037503mm,98.41834200000001mm,Top,180.0
C430,121.73750299999999mm,98.41834200000001mm,Top,0.0
U430,120.417503mm,95.16834200000001mm,Top,270.0
D430,125.68750299999999mm,97.38834200000001mm,Top,270.0
C821,43.410005mm,57.564997000000005mm,Bottom,90.0
C822,45.210004999999995mm,57.564997000000005mm,Bottom,90.0
C823,47.010005mm,57.564997000000005mm,Bottom,90.0
C824,48.810005mm,57.564997000000005mm,Bottom,90.0
C825,50.610005mm,57.564997000000005mm,Bottom,90.0
C826,43.410005mm,53.764997mm,Bottom,270.0
C827,45.210004999999995mm,53.764997mm,Bottom,270.0
C828,47.010005mm,53.764997mm,Bottom,270.0
C829,48.810005mm,53.764997mm,Bottom,270.0
C830,50.610005mm,53.764997mm,Bottom,270.0
C831,44.710004999999995mm,62.065005mm,Bottom,180.0
C832,44.710004999999995mm,60.565005mm,Bottom,180.0
C833,44.185005mm,50.864997mm,Bottom,180.0
R821,47.710004999999995mm,60.565005mm,Bottom,0.0
R822,50.710004999999995mm,60.565005mm,Bottom,180.0
U821,47.010005mm,55.664997mm,Top,270.0
